full_name,country,years_old,gender,type_beer,lupulo, alcohol
Cam Denyukhin,United States,65,1,Oscura,0.135-0.15,0.05
Cash Cossons,United States,18,1,Malta_saborizada,0.135-0.15,0.05
Calv Nozzolinii,Canada,38,1,Light,0.16-0.21,0.03
Frederick Brice,France,44,1,Michelada,0.08-0.09,0.04
Peyton Pappi,France,45,1,Michelada,0.16-0.21,0.05
Myranda Wash,United States,61,0,Oscura,0.16-0.21,0.04
Abran Cullip,Canada,22,1,Oscura,0.08-0.09,0.06
Stevy Abba,United Kingdom,58,1,Michelada,0.04-0.063,0.04
Mikey Lehr,United States,34,1,Oscura,0.16-0.21,0.04
Ginelle Chicco,Japan,19,0,Malta_saborizada,0.16-0.21,0.05
Antin Whitrod,Germany,36,1,Oscura,0.04-0.063,0.06
Alberta Mapplethorpe,Japan,26,0,Oscura,0.16-0.21,0.03
Ada Kilpin,France,48,0,Malta_saborizada,0.135-0.15,0.03
Craggy Falvey,Japan,36,1,Oscura,0.04-0.063,0.03
Zeb O' Culligan,France,66,1,Malta_saborizada,0.08-0.09,0.06
Leontine Libreros,United States,65,0,Michelada,0.04-0.063,0.06
Gert Rysom,France,21,0,Oscura,0.16-0.21,0.05
Anet Odo,United States,49,0,Light,0.08-0.09,0.06
Abram Gronaller,Japan,59,1,Light,0.16-0.21,0.06
Brian Tupling,France,22,1,Light,0.135-0.15,0.04
Demetra Jennions,Canada,61,0,Michelada,0.135-0.15,0.04
Andros Kegan,Canada,38,1,Michelada,0.135-0.15,0.06
Bink Boobier,Japan,38,1,Michelada,0.08-0.09,0.04
Lorne Keen,France,64,1,Michelada,0.16-0.21,0.04
Creighton Ast,France,69,1,Malta_saborizada,0.135-0.15,0.04
Jinny Keslake,Japan,27,0,Oscura,0.08-0.09,0.04
Reginald Jenyns,France,20,1,Oscura,0.16-0.21,0.05
Ransom Duplan,France,64,1,Michelada,0.135-0.15,0.06
Eziechiele Demogeot,Japan,62,1,Michelada,0.08-0.09,0.04
Roland Gethyn,United Kingdom,28,1,Malta_saborizada,0.04-0.063,0.05
Ameline Dogg,France,37,0,Michelada,0.16-0.21,0.05
Beaufort Ames,United States,29,1,Oscura,0.16-0.21,0.04
Judah Glusby,Canada,39,1,Malta_saborizada,0.04-0.063,0.06
Wallis Bakes,Canada,43,0,Malta_saborizada,0.08-0.09,0.04
Quinn Keats,United States,28,0,Light,0.16-0.21,0.03
Farris Lorant,France,51,1,Malta_saborizada,0.16-0.21,0.06
Ardella Hamson,France,64,0,Malta_saborizada,0.16-0.21,0.06
Desiree Osman,Germany,69,0,Michelada,0.08-0.09,0.03
Shell Copello,United States,60,1,Malta_saborizada,0.16-0.21,0.05
Dalila Doeg,Japan,43,0,Michelada,0.04-0.063,0.05
Abelard Elderidge,Canada,52,1,Malta_saborizada,0.135-0.15,0.05
Cirilo Stranahan,United States,22,1,Light,0.04-0.063,0.05
Bibi MacMarcuis,Canada,55,0,Michelada,0.135-0.15,0.03
Bertrando Forde,France,42,1,Oscura,0.08-0.09,0.03
Vannie Brugsma,United States,35,0,Oscura,0.16-0.21,0.03
Alexa Castillo,France,65,0,Light,0.135-0.15,0.03
Silva Razoux,Japan,66,0,Michelada,0.135-0.15,0.03
Shannon Fettiplace,France,60,1,Malta_saborizada,0.135-0.15,0.06
Virgie Vannar,Canada,36,0,Michelada,0.16-0.21,0.04
Katti Burgum,United States,38,0,Oscura,0.135-0.15,0.03
Gradey Serjeant,United States,60,1,Light,0.16-0.21,0.04
Cornelius Keningley,France,61,1,Oscura,0.08-0.09,0.04
Natale Morgan,France,53,1,Oscura,0.135-0.15,0.04
Susette Ansty,France,28,0,Oscura,0.08-0.09,0.04
Guthrie Melland,Italy,66,1,Oscura,0.04-0.063,0.05
Abby Hantusch,Japan,36,0,Michelada,0.08-0.09,0.04
Georgia Gavahan,France,59,0,Light,0.135-0.15,0.04
Vanna Tomlin,France,64,0,Oscura,0.16-0.21,0.05
Alphonso Tidbold,Canada,57,1,Michelada,0.08-0.09,0.06
Calv Forty,Canada,37,1,Malta_saborizada,0.135-0.15,0.04
Cary Doore,France,58,1,Malta_saborizada,0.08-0.09,0.04
Tanner Deevey,Japan,42,1,Oscura,0.04-0.063,0.04
Brander Oldrey,France,18,1,Michelada,0.135-0.15,0.06
Zebulon Coghill,United Kingdom,64,1,Malta_saborizada,0.16-0.21,0.03
Karylin Del Checolo,United States,41,0,Malta_saborizada,0.08-0.09,0.04
Myron McCreery,Germany,51,1,Michelada,0.135-0.15,0.06
Daune Turneux,United States,31,0,Michelada,0.16-0.21,0.06
Kyle Graser,Japan,39,0,Michelada,0.135-0.15,0.06
Colby Linke,France,69,1,Light,0.135-0.15,0.04
Tudor Oakwell,Canada,40,1,Michelada,0.08-0.09,0.04
Albert Ozelton,Germany,56,1,Michelada,0.04-0.063,0.04
Hadlee Lever,Canada,27,1,Malta_saborizada,0.16-0.21,0.05
Frazer Crisp,United States,32,1,Michelada,0.16-0.21,0.03
Roddy Moxom,Japan,42,1,Light,0.16-0.21,0.04
Andee Aylen,Japan,22,0,Oscura,0.16-0.21,0.06
Agatha Guilford,France,32,0,Michelada,0.135-0.15,0.06
Rodger Maryin,Canada,33,1,Oscura,0.08-0.09,0.04
Jillian Blockey,Italy,18,0,Oscura,0.135-0.15,0.03
Gigi Coldbathe,France,21,0,Oscura,0.04-0.063,0.06
Forrest Todman,Japan,21,1,Light,0.135-0.15,0.06
Byron Monument,France,44,1,Michelada,0.04-0.063,0.04
Ignatius Vaughn,Canada,53,1,Light,0.04-0.063,0.03
Ciro Clother,France,27,1,Malta_saborizada,0.135-0.15,0.04
Nissy Holyland,United States,36,0,Light,0.135-0.15,0.04
Lorna Blowfelde,Canada,50,0,Light,0.135-0.15,0.04
Filmore Dagworthy,France,49,1,Malta_saborizada,0.04-0.063,0.06
Dallon Andryunin,Canada,64,1,Light,0.135-0.15,0.06
Kimberlee Briance,Japan,59,0,Malta_saborizada,0.04-0.063,0.04
Ania Tanfield,Japan,50,0,Michelada,0.08-0.09,0.03
Virgie Coldridge,Japan,22,0,Light,0.04-0.063,0.06
Valentine Thams,United States,40,1,Light,0.04-0.063,0.03
Ara Foot,France,34,1,Malta_saborizada,0.04-0.063,0.03
Dasie Haggerstone,Canada,56,0,Light,0.135-0.15,0.04
Mace Lillecrop,United States,33,1,Oscura,0.16-0.21,0.05
Belle Arden,United States,42,0,Oscura,0.135-0.15,0.05
Maximo Caban,France,21,1,Oscura,0.135-0.15,0.03
Hester Belward,Canada,63,0,Light,0.04-0.063,0.06
Diego Fumagalli,United States,27,1,Michelada,0.135-0.15,0.03
Lise De Dantesie,United States,41,0,Malta_saborizada,0.08-0.09,0.06
Janek Cruce,France,22,1,Malta_saborizada,0.16-0.21,0.06
Nadia Etty,Canada,25,0,Malta_saborizada,0.04-0.063,0.06
Valentino Moyles,United States,46,1,Malta_saborizada,0.04-0.063,0.06
Pansie Crum,United States,67,0,Oscura,0.16-0.21,0.05
Rutger Hounson,France,59,1,Light,0.04-0.063,0.05
Halley McGreil,United States,39,0,Light,0.16-0.21,0.04
Christye Sturdy,Canada,33,0,Light,0.135-0.15,0.04
Ericha Durram,Italy,49,0,Michelada,0.08-0.09,0.05
Matty Mattin,France,28,0,Light,0.16-0.21,0.05
Miltie Craggs,Japan,45,1,Oscura,0.16-0.21,0.05
Wallie De Coursey,Italy,64,1,Oscura,0.04-0.063,0.04
Townsend Raymont,United States,22,1,Michelada,0.04-0.063,0.03
Maxie Gyer,France,44,0,Michelada,0.135-0.15,0.05
Tracie Gyver,United States,60,1,Malta_saborizada,0.16-0.21,0.05
Dew Freestone,Canada,26,1,Michelada,0.16-0.21,0.03
Kat Repper,Canada,29,0,Light,0.16-0.21,0.05
Alasdair Pashbee,United States,67,1,Michelada,0.08-0.09,0.04
Christoffer Skingle,France,38,1,Michelada,0.16-0.21,0.03
Marvin Shuter,France,59,1,Michelada,0.04-0.063,0.05
Dewitt Cotte,France,32,1,Oscura,0.04-0.063,0.03
Bobinette Ostler,France,60,0,Michelada,0.08-0.09,0.03
Teri Banham,United States,40,0,Michelada,0.16-0.21,0.03
Cobby Spencelayh,Japan,60,1,Michelada,0.135-0.15,0.03
Antonetta Venny,France,31,0,Michelada,0.04-0.063,0.04
Phineas Conybear,France,47,1,Light,0.16-0.21,0.03
Marco Holton,France,25,1,Oscura,0.16-0.21,0.05
Jojo Mollatt,France,55,0,Michelada,0.04-0.063,0.05
Antonino Di Ruggero,Japan,47,1,Light,0.04-0.063,0.05
Inessa Salzburg,United States,62,0,Malta_saborizada,0.16-0.21,0.03
Hewe Fasson,United States,40,1,Oscura,0.16-0.21,0.03
Joannes Caccavale,Germany,65,0,Malta_saborizada,0.04-0.063,0.04
Marquita Lightning,United States,70,0,Malta_saborizada,0.16-0.21,0.06
Glad Tumber,Germany,57,0,Malta_saborizada,0.16-0.21,0.06
Denyse Kerry,Canada,53,0,Malta_saborizada,0.135-0.15,0.04
Therese Slade,Germany,54,0,Michelada,0.135-0.15,0.03
Chrissy Fison,France,39,0,Malta_saborizada,0.16-0.21,0.04
Charmine Le Noire,Germany,29,0,Michelada,0.04-0.063,0.05
Davy Caudrey,Canada,44,1,Light,0.04-0.063,0.06
Silvain Shenton,Japan,31,1,Michelada,0.16-0.21,0.04
Isabeau Danielsen,France,26,0,Michelada,0.04-0.063,0.06
Thorn Capstick,Japan,54,1,Light,0.135-0.15,0.04
Linnell Craigmyle,United States,48,0,Malta_saborizada,0.135-0.15,0.05
Torry Mongeot,United States,46,1,Light,0.16-0.21,0.05
Rafaela Avery,Japan,50,0,Michelada,0.04-0.063,0.04
Milty Starling,United States,37,1,Malta_saborizada,0.08-0.09,0.04
Vanni Rounsefull,Canada,39,0,Light,0.08-0.09,0.05
Mendie Featonby,United States,56,1,Oscura,0.135-0.15,0.03
Ban Prisk,Japan,23,1,Michelada,0.135-0.15,0.04
Luca Bassingham,United States,65,1,Light,0.08-0.09,0.04
Laryssa Seacroft,France,39,0,Light,0.04-0.063,0.03
Conrad Pietersen,France,21,1,Oscura,0.04-0.063,0.06
Veronica McLoney,United States,31,0,Michelada,0.04-0.063,0.06
Valina Dufaur,United States,21,0,Malta_saborizada,0.08-0.09,0.04
Crysta Terrelly,Japan,35,0,Malta_saborizada,0.08-0.09,0.04
Valerie Lydster,United States,45,0,Malta_saborizada,0.08-0.09,0.04
Shell Blaxall,Canada,47,0,Malta_saborizada,0.08-0.09,0.05
Connie MacCardle,United States,52,1,Light,0.08-0.09,0.04
Norma Hegge,France,23,0,Light,0.135-0.15,0.04
Corey Vaud,Japan,62,0,Oscura,0.135-0.15,0.06
Ericha de Villier,France,20,0,Oscura,0.08-0.09,0.06
Ardenia Halwill,France,61,0,Michelada,0.08-0.09,0.06
Abrahan McMechan,Japan,43,1,Malta_saborizada,0.16-0.21,0.05
Hedi Edel,France,60,0,Michelada,0.16-0.21,0.03
Rodd Tupper,United States,63,1,Michelada,0.04-0.063,0.04
Lindy Normant,Canada,31,0,Oscura,0.04-0.063,0.05
Barbabas Leythley,Japan,38,1,Malta_saborizada,0.16-0.21,0.04
Remington Gallacher,France,18,1,Michelada,0.16-0.21,0.05
Tobie Tooth,United States,19,1,Malta_saborizada,0.135-0.15,0.06
Barney Fidgeon,France,58,1,Michelada,0.04-0.063,0.06
Jorey Spencook,France,43,0,Oscura,0.04-0.063,0.06
Rees Kumar,France,43,1,Oscura,0.04-0.063,0.03
Paten Stronack,United States,45,1,Oscura,0.08-0.09,0.06
Erinna Andrzejak,Japan,33,0,Oscura,0.08-0.09,0.06
Jocko Davidoff,United States,31,1,Light,0.04-0.063,0.03
Wally Pearcehouse,Germany,69,0,Light,0.135-0.15,0.04
Janis Mennithorp,United States,52,0,Michelada,0.04-0.063,0.05
Benton Geelan,France,58,1,Oscura,0.08-0.09,0.05
Amandi Brosh,France,55,0,Light,0.16-0.21,0.06
Pail McDool,United States,63,1,Michelada,0.04-0.063,0.05
Rory Earry,United Kingdom,37,0,Michelada,0.135-0.15,0.05
Ashlie Wickstead,Japan,60,0,Michelada,0.16-0.21,0.04
Ellissa Posen,United States,34,0,Oscura,0.08-0.09,0.06
Honey Koppel,France,31,0,Michelada,0.08-0.09,0.05
Lazarus Oolahan,United Kingdom,30,1,Michelada,0.135-0.15,0.05
Jehu Wellan,United States,23,1,Malta_saborizada,0.08-0.09,0.03
Kari Elston,United States,43,0,Michelada,0.04-0.063,0.03
Fletch Gliddon,Japan,63,1,Michelada,0.16-0.21,0.05
Laurence McGenis,France,32,1,Michelada,0.16-0.21,0.04
Gail Jessel,Japan,47,0,Oscura,0.08-0.09,0.05
Tann Ber,Japan,54,1,Michelada,0.135-0.15,0.06
Gram Tregunnah,Japan,20,1,Oscura,0.135-0.15,0.03
Kristine Redgewell,Japan,61,0,Michelada,0.135-0.15,0.03
Karilynn Cheesworth,United States,68,0,Light,0.16-0.21,0.03
Kipper Kimblin,United States,69,1,Oscura,0.16-0.21,0.05
Whitney Muzzini,United States,26,1,Oscura,0.08-0.09,0.03
Luise Schukraft,France,53,0,Michelada,0.135-0.15,0.05
Fons Yewdell,France,23,1,Oscura,0.135-0.15,0.03
Claybourne Stillwell,United States,21,1,Michelada,0.135-0.15,0.04
Nessy Mertin,United States,61,0,Light,0.04-0.063,0.03
Fay MacNeilly,France,32,0,Light,0.16-0.21,0.04
Domenic Doey,France,22,1,Light,0.04-0.063,0.05
Brynne Jarrelt,United States,63,0,Malta_saborizada,0.04-0.063,0.06
Julietta Peto,France,43,0,Michelada,0.04-0.063,0.04
Jermayne Donhardt,France,40,1,Michelada,0.04-0.063,0.05
Niko Hedon,United States,60,1,Oscura,0.08-0.09,0.06
Minne Allix,France,18,0,Malta_saborizada,0.04-0.063,0.03
Annice Robus,United States,69,0,Malta_saborizada,0.04-0.063,0.04
Billie MacConnell,France,51,0,Michelada,0.04-0.063,0.06
Hall Biggin,United States,53,1,Malta_saborizada,0.08-0.09,0.04
Cori Enric,Japan,32,0,Michelada,0.135-0.15,0.03
Zarla McVie,Japan,44,0,Malta_saborizada,0.16-0.21,0.05
Stephanus Strang,United States,23,1,Michelada,0.08-0.09,0.03
Madelaine Maxsted,Canada,28,0,Light,0.08-0.09,0.04
Killie Kencott,Canada,26,1,Light,0.135-0.15,0.04
Sean Fordyce,Japan,61,0,Light,0.04-0.063,0.06
Barrett Creasey,Germany,51,1,Oscura,0.04-0.063,0.03
Sheelah Fantin,Germany,58,0,Light,0.04-0.063,0.04
Avram Adriani,France,70,1,Michelada,0.08-0.09,0.06
Peria Louw,United States,41,0,Michelada,0.16-0.21,0.06
Stevena Doulton,United States,23,0,Oscura,0.04-0.063,0.03
Filip Sutlieff,Canada,45,1,Oscura,0.16-0.21,0.05
Jerry Sancraft,France,22,0,Light,0.08-0.09,0.04
Ricoriki Rooson,France,53,1,Malta_saborizada,0.04-0.063,0.05
Salvidor Duchatel,France,63,1,Malta_saborizada,0.04-0.063,0.05
Kathye Yurkin,France,20,0,Malta_saborizada,0.08-0.09,0.05
Angie Fronek,France,65,1,Malta_saborizada,0.08-0.09,0.03
Tamara Eayrs,Japan,21,0,Michelada,0.08-0.09,0.03
Bruce Rearie,France,64,1,Michelada,0.135-0.15,0.05
Layton McQuin,United States,36,1,Michelada,0.08-0.09,0.04
Shannan Colisbe,Canada,27,1,Michelada,0.08-0.09,0.04
Keene Audsley,United States,55,1,Michelada,0.16-0.21,0.05
Gibbie Corradeschi,Germany,52,1,Light,0.135-0.15,0.04
Maddie Tinner,Japan,60,1,Malta_saborizada,0.16-0.21,0.03
Reeva Roust,United Kingdom,42,0,Oscura,0.135-0.15,0.04
Moritz Ellyatt,France,19,1,Malta_saborizada,0.08-0.09,0.04
Viv Lace,Japan,20,0,Light,0.04-0.063,0.06
Ladonna Titmus,United States,29,0,Malta_saborizada,0.135-0.15,0.05
Kip Beirne,France,51,0,Malta_saborizada,0.04-0.063,0.06
Loni Demcik,Japan,18,0,Malta_saborizada,0.135-0.15,0.06
Damiano McKinnon,United States,29,1,Light,0.16-0.21,0.03
Ber Patience,United States,39,1,Michelada,0.04-0.063,0.03
Bordie Firpi,United States,62,1,Light,0.16-0.21,0.04
Tonia Heinish,United States,38,0,Michelada,0.16-0.21,0.05
Lefty Gheeorghie,Canada,42,1,Light,0.04-0.063,0.04
Padgett Pellamont,France,26,1,Malta_saborizada,0.08-0.09,0.04
Eloise Crimes,France,22,0,Oscura,0.135-0.15,0.06
Elvira Tidder,France,52,0,Michelada,0.16-0.21,0.06
Tabbi Everist,United States,37,0,Michelada,0.08-0.09,0.03
Jenelle Magill,France,31,0,Oscura,0.04-0.063,0.06
Hans Olin,Japan,25,1,Malta_saborizada,0.04-0.063,0.05
Merwin Macia,United States,38,1,Michelada,0.08-0.09,0.05
Cissy Follis,France,25,0,Light,0.135-0.15,0.05
Pippa Northall,France,20,0,Light,0.135-0.15,0.05
Lani Lunn,Canada,66,0,Light,0.04-0.063,0.05
Randie Drewett,Canada,61,1,Malta_saborizada,0.16-0.21,0.06
Ambrosi Allawy,France,27,1,Light,0.04-0.063,0.03
Marci Eouzan,United States,63,0,Malta_saborizada,0.135-0.15,0.06
Georgianne Renak,Canada,55,0,Oscura,0.04-0.063,0.04
Darbee Samsworth,France,64,1,Malta_saborizada,0.135-0.15,0.05
Farly Littledike,Canada,20,1,Light,0.135-0.15,0.04
Peggy O'Spellissey,France,41,0,Light,0.04-0.063,0.05
Findlay Shoulders,France,38,1,Malta_saborizada,0.08-0.09,0.05
Yuri Marryatt,Japan,18,1,Michelada,0.04-0.063,0.03
Grady Pichmann,United States,55,1,Malta_saborizada,0.04-0.063,0.06
Ximenes Heeps,Japan,40,1,Oscura,0.135-0.15,0.05
Berty Pignon,Japan,67,0,Michelada,0.04-0.063,0.04
Alix Lotherington,Japan,21,0,Oscura,0.135-0.15,0.06
Letta Pugsley,Japan,39,0,Malta_saborizada,0.08-0.09,0.04
Roby Fronek,United Kingdom,50,0,Light,0.16-0.21,0.06
Kass Denes,United Kingdom,46,0,Malta_saborizada,0.16-0.21,0.05
Mano Ciccottini,France,40,1,Michelada,0.16-0.21,0.04
Nerita Poundford,Japan,44,0,Michelada,0.16-0.21,0.05
Ferdinanda Jon,Canada,44,0,Light,0.135-0.15,0.04
Norby Strowan,United States,61,1,Malta_saborizada,0.135-0.15,0.06
Lynnet Millhill,Japan,68,0,Light,0.08-0.09,0.04
Marti Torres,United States,50,0,Oscura,0.16-0.21,0.03
Zechariah Batch,Japan,53,1,Malta_saborizada,0.135-0.15,0.05
Lisetta Guage,Canada,27,0,Michelada,0.16-0.21,0.05
Konstanze Carles,Canada,27,0,Light,0.08-0.09,0.04
Fabio Gettins,France,41,1,Light,0.08-0.09,0.04
Merill Lyenyng,United States,43,1,Oscura,0.135-0.15,0.06
Wilbur Dun,United States,40,1,Malta_saborizada,0.04-0.063,0.03
Averyl Pavlitschek,France,46,0,Michelada,0.04-0.063,0.05
Greggory Lawn,Italy,55,1,Malta_saborizada,0.04-0.063,0.03
Dore Tosdevin,France,19,0,Michelada,0.135-0.15,0.05
Sarah Holley,Canada,60,0,Oscura,0.04-0.063,0.06
Emmye Lowthorpe,Japan,44,0,Oscura,0.135-0.15,0.04
Ethelbert Espinoza,United States,48,1,Michelada,0.135-0.15,0.03
Carola Annand,Germany,26,0,Malta_saborizada,0.08-0.09,0.03
Kris O'Rourke,United States,50,1,Michelada,0.135-0.15,0.05
Gabriellia Garnam,France,48,0,Oscura,0.16-0.21,0.04
Kerrie Lohden,United States,41,0,Michelada,0.04-0.063,0.04
Rutledge Frenzel;,Japan,53,1,Oscura,0.16-0.21,0.05
Selestina Gurnell,Canada,19,0,Malta_saborizada,0.08-0.09,0.05
Jecho Easlea,France,60,1,Michelada,0.16-0.21,0.06
Garek De Ferrari,United States,51,1,Oscura,0.08-0.09,0.05
Giusto Cruse,United States,52,1,Michelada,0.04-0.063,0.06
Gilberto Unthank,United States,27,1,Malta_saborizada,0.08-0.09,0.04
Kathrine Fleckness,France,46,0,Light,0.04-0.063,0.06
Lorna Sowthcote,United States,51,0,Malta_saborizada,0.08-0.09,0.04
Babbie Andreia,United States,30,0,Malta_saborizada,0.08-0.09,0.04
Malinde Bastiman,United States,60,0,Light,0.04-0.063,0.03
Nanine Ainscow,France,19,0,Light,0.16-0.21,0.04
Broderic McGrouther,Canada,27,1,Oscura,0.16-0.21,0.03
Heall Snell,Japan,37,1,Michelada,0.135-0.15,0.05
Terence Beddard,France,32,1,Light,0.04-0.063,0.04
Byron Mutton,United States,46,1,Michelada,0.04-0.063,0.04
Milka Franek,United States,46,0,Light,0.04-0.063,0.04
Neddy Downer,France,18,1,Light,0.08-0.09,0.06
Humbert Noar,United States,61,1,Oscura,0.08-0.09,0.06
Kalie Paybody,United States,64,0,Light,0.135-0.15,0.06
Evyn Eldershaw,Japan,62,1,Michelada,0.16-0.21,0.03
Ree Lease,Canada,62,0,Michelada,0.08-0.09,0.05
Major Burden,Canada,64,1,Malta_saborizada,0.04-0.063,0.05
Maurie Ozintsev,Canada,23,1,Malta_saborizada,0.04-0.063,0.03
Randie Ebbins,Canada,57,1,Michelada,0.16-0.21,0.06
Rollin Rossey,Japan,27,1,Light,0.16-0.21,0.06
Audy Antonopoulos,United States,18,0,Light,0.08-0.09,0.04
Emlyn Jeaffreson,Japan,38,1,Michelada,0.08-0.09,0.03
Delainey Airton,France,41,1,Oscura,0.135-0.15,0.03
Brandy Pashe,Italy,53,0,Malta_saborizada,0.04-0.063,0.03
Ede Penas,France,68,0,Oscura,0.08-0.09,0.03
Mireielle Gornar,United States,35,0,Light,0.08-0.09,0.05
Sigfrid Whyard,France,66,1,Michelada,0.04-0.063,0.06
Rhianna Colhoun,France,47,0,Malta_saborizada,0.135-0.15,0.05
Adams Betho,France,68,1,Malta_saborizada,0.04-0.063,0.04
Pennie Brisset,Canada,32,1,Michelada,0.08-0.09,0.06
Goldy Anthoney,United States,50,0,Michelada,0.08-0.09,0.04
Isis Stonnell,France,56,0,Michelada,0.16-0.21,0.04
Letti Miall,France,55,0,Light,0.16-0.21,0.05
Cally Meneghelli,France,43,0,Michelada,0.135-0.15,0.04
Milt Ertelt,France,25,1,Malta_saborizada,0.16-0.21,0.03
Garnet Mahony,United States,44,0,Michelada,0.04-0.063,0.03
Eugenia Hazelgrove,France,31,0,Light,0.08-0.09,0.06
Anette Cantera,France,53,0,Michelada,0.08-0.09,0.03
Allie Syddon,United States,66,0,Oscura,0.16-0.21,0.05
Pauly Spoerl,France,41,1,Michelada,0.04-0.063,0.06
Pinchas Shurrock,France,19,1,Light,0.16-0.21,0.03
Eldin Wornham,United States,55,1,Malta_saborizada,0.135-0.15,0.05
Annabal Gunny,Italy,25,0,Michelada,0.08-0.09,0.06
Chico Lowless,Germany,20,1,Malta_saborizada,0.08-0.09,0.05
Conny Sighart,United States,63,1,Malta_saborizada,0.16-0.21,0.06
Preston Trowsdall,United Kingdom,44,1,Michelada,0.135-0.15,0.06
Darsie Droghan,United States,59,0,Light,0.135-0.15,0.04
Rafa Bore,Canada,42,0,Light,0.08-0.09,0.05
Ben Barmby,Japan,65,1,Malta_saborizada,0.16-0.21,0.06
Corbet Tidridge,France,48,1,Michelada,0.135-0.15,0.06
Maegan Sirey,United States,70,0,Light,0.08-0.09,0.03
Lockwood Hardacre,United States,56,1,Malta_saborizada,0.04-0.063,0.04
Meaghan Seabridge,Japan,26,0,Malta_saborizada,0.08-0.09,0.04
Georgeta Joubert,France,20,0,Oscura,0.08-0.09,0.06
Vinny Hessay,France,58,0,Michelada,0.135-0.15,0.06
Bret Norbury,France,70,1,Oscura,0.04-0.063,0.04
Liva Siddele,Japan,26,0,Light,0.135-0.15,0.05
Nelia Well,Canada,61,0,Light,0.135-0.15,0.04
Kele Mateuszczyk,France,27,1,Oscura,0.04-0.063,0.04
Boone Thackray,Italy,47,1,Light,0.08-0.09,0.05
Phillipp Bilton,United States,24,1,Malta_saborizada,0.135-0.15,0.06
Carol Mollitt,United States,56,0,Malta_saborizada,0.16-0.21,0.04
Gisele Parkman,Canada,19,0,Malta_saborizada,0.135-0.15,0.03
Cyrille Pohling,France,30,1,Oscura,0.08-0.09,0.06
Ruggiero Pollock,United States,44,1,Michelada,0.08-0.09,0.06
Lotte Ibanez,France,23,0,Oscura,0.135-0.15,0.03
Taffy Bodicum,Canada,41,0,Light,0.16-0.21,0.05
Abbe Le Prevost,United States,68,1,Malta_saborizada,0.04-0.063,0.06
Arabela Giovannetti,United States,53,0,Light,0.08-0.09,0.04
Hartwell Cheake,Japan,50,1,Michelada,0.04-0.063,0.04
Elena Kuhnt,United States,27,0,Michelada,0.08-0.09,0.03
Gawain Switzer,Canada,51,1,Oscura,0.04-0.063,0.03
Frank Mucklow,United States,52,1,Oscura,0.16-0.21,0.04
Oneida Solano,Canada,60,0,Michelada,0.135-0.15,0.03
Andrei Mustill,United States,43,0,Malta_saborizada,0.135-0.15,0.05
Noach Noto,Canada,49,1,Light,0.135-0.15,0.05
Dill Fearnyhough,Canada,52,1,Oscura,0.16-0.21,0.05
Laurella Barukh,France,44,0,Michelada,0.135-0.15,0.05
Dari Parlott,France,70,0,Michelada,0.08-0.09,0.04
Maxy Towns,France,38,1,Michelada,0.16-0.21,0.04
Auberon Ivanuschka,Canada,19,1,Light,0.04-0.063,0.06
Kelsi Voaden,United States,19,0,Oscura,0.08-0.09,0.05
Zane Betham,United States,50,1,Michelada,0.08-0.09,0.05
Anselm Brandle,France,53,1,Malta_saborizada,0.08-0.09,0.06
Zack Piburn,United States,44,1,Michelada,0.135-0.15,0.03
Katalin Verrico,United States,48,0,Light,0.08-0.09,0.06
Winfield Posthill,Japan,64,1,Malta_saborizada,0.04-0.063,0.06
Tammie Mallion,United States,61,0,Oscura,0.16-0.21,0.03
Orsa Pyle,United States,51,0,Oscura,0.135-0.15,0.05
Otis Bovingdon,Japan,37,1,Oscura,0.135-0.15,0.03
Ashien McKag,France,55,0,Malta_saborizada,0.16-0.21,0.04
Doug Lyvon,Canada,66,1,Oscura,0.08-0.09,0.04
Rudolf Poynter,France,69,1,Malta_saborizada,0.16-0.21,0.05
Kimbra Gallaher,Canada,36,0,Malta_saborizada,0.135-0.15,0.03
Bjorn Gilliam,Canada,29,1,Light,0.16-0.21,0.05
Christabella O'Sherrin,United States,37,0,Light,0.16-0.21,0.05
Melody Knox,United States,45,0,Michelada,0.08-0.09,0.03
Katey Yushkin,United States,56,0,Malta_saborizada,0.08-0.09,0.05
Audrye Kezar,France,18,0,Oscura,0.08-0.09,0.06
Pierre Dike,France,60,1,Malta_saborizada,0.135-0.15,0.04
Karna Rings,United States,70,0,Michelada,0.04-0.063,0.03
Clerc Acres,United States,45,1,Malta_saborizada,0.16-0.21,0.06
Lezlie Clever,France,44,0,Light,0.16-0.21,0.06
Lauren Mendonca,France,37,1,Oscura,0.04-0.063,0.04
Devora Juden,France,44,0,Light,0.16-0.21,0.06
Leonanie Caraher,Canada,18,0,Light,0.135-0.15,0.04
Vinita Pietrusiak,Japan,18,0,Michelada,0.08-0.09,0.05
Sena Baumadier,France,33,0,Malta_saborizada,0.135-0.15,0.03
Lexis Fumagalli,United States,51,0,Oscura,0.04-0.063,0.05
Algernon Hammarberg,France,50,1,Light,0.04-0.063,0.06
Osmond McElvogue,France,39,1,Michelada,0.04-0.063,0.06
Tammie Lemonby,United States,39,1,Michelada,0.04-0.063,0.04
Skylar McLeod,Japan,44,1,Light,0.135-0.15,0.03
Wood Worster,France,47,1,Michelada,0.16-0.21,0.05
Reube Prosser,United States,36,1,Oscura,0.08-0.09,0.04
Arney Mattheeuw,Canada,58,1,Malta_saborizada,0.16-0.21,0.05
Shae Merkle,Canada,42,0,Oscura,0.04-0.063,0.06
